complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0279,C0573,O00031,Billing,App,Medium,2024-10-27 03:17:00,Resolved,1,19.87
CP0280,C0369,O00753,DriverBehaviour,Email,Medium,2025-01-18 02:40:00,Resolved,6,3.44
CP0281,C0510,O01125,MissedPickup,Chatbot,High,2025-06-25 11:43:00,Resolved,11,44.57
CP0282,C0335,O00601,DriverBehaviour,Email,Medium,2025-06-03 04:16:00,Escalated,4,18.1
CP0283,C0252,O00401,DriverBehaviour,Email,High,2024-06-30 11:15:00,Open,11,61.11
CP0284,C0211,O00545,AppIssue,Phone,Medium,2025-04-22 01:02:00,Resolved,9,32.59
CP0285,C0172,O00773,MissedPickup,App,High,2024-01-25 23:46:00,Resolved,12,37.06
CP0286,C0015,O00873,DriverBehaviour,App,High,2024-12-05 12:06:00,Resolved,10,
CP0287,C0405,O00971,DriverBehaviour,Phone,High,2025-12-27 15:30:00,Open,20,
CP0288,C0459,O01202,Delay,Phone,Medium,2024-11-14 15:24:00,Escalated,5,20.75
CP0289,C0532,O01012,MissedPickup,App,Medium,2025-03-14 05:05:00,Resolved,1,25.56
CP0290,C0259,O00351,SupportExperience,App,Medium,2024-05-03 03:31:00,Resolved,6,18.82
CP0291,C0515,O00588,SupportExperience,Phone,Medium,2024-06-11 11:49:00,AwaitingCustomer,7,20.04
CP0292,C0187,O00765,MissedPickup,Phone,Low,2024-07-21 03:25:00,Open,11,15.26
CP0293,C0449,O00202,DriverBehaviour,Phone,Medium,2024-02-02 01:04:00,Resolved,3,28.0
CP0294,C0339,O00089,AppIssue,Phone,High,2025-04-30 18:23:00,Open,19,39.64
CP0295,C0182,O01107,Billing,Email,Medium,2024-01-30 07:32:00,Open,1,4.94
CP0296,C0243,O00041,MissedPickup,Phone,Medium,2024-09-17 13:42:00,Resolved,1,6.59
CP0297,C0571,O00776,Delay,App,Low,2025-03-07 00:53:00,Resolved,6,5.67
CP0298,C0285,O00483,Delay,App,Medium,2024-11-19 00:34:00,Escalated,1,16.85
CP0299,C0178,O00326,Delay,App,High,2024-11-15 09:05:00,Open,11,
CP0300,C0408,O00553,SupportExperience,Phone,Low,2024-01-15 20:55:00,Open,14,4.56
CP0301,C0023,O00414,DriverBehaviour,Phone,Medium,2025-04-05 20:30:00,Resolved,4,16.83
CP0302,C0372,O00373,MissedPickup,Chatbot,High,2024-06-03 20:00:00,Resolved,8,37.07
CP0303,C0294,O00872,MissedPickup,App,Low,2024-11-11 11:01:00,Open,9,15.19
CP0304,C0178,O00455,Delay,Phone,Medium,2024-08-14 02:36:00,Open,7,20.69
CP0305,C0226,O01015,DriverBehaviour,Chatbot,High,2025-08-08 21:14:00,Resolved,11,37.25
CP0306,C0004,O00081,Damage,App,High,2025-04-26 12:53:00,Resolved,21,35.58
CP0307,C0248,O00900,DriverBehaviour,Chatbot,Medium,2024-09-20 00:05:00,Resolved,4,
CP0308,C0597,O00865,DriverBehaviour,Phone,High,2024-03-28 00:53:00,Resolved,13,37.97
CP0309,C0175,O01106,Damage,Email,High,2024-03-01 00:14:00,Resolved,7,57.63
CP0310,C0421,O00219,DriverBehaviour,Phone,High,2024-06-08 23:42:00,Resolved,13,45.71
CP0311,C0636,O00894,DriverBehaviour,App,High,2024-01-15 22:16:00,Resolved,19,
CP0312,C0026,O00341,Delay,App,Medium,2024-12-23 20:58:00,Open,12,19.78
CP0313,C0028,O00290,Delay,Chatbot,Low,2024-09-27 22:30:00,Resolved,2,8.86
CP0314,C0378,O00443,SupportExperience,App,Low,2025-10-28 00:06:00,Resolved,6,4.67
CP0315,C0517,O00645,MissedPickup,Chatbot,High,2024-12-28 21:06:00,Resolved,14,58.16
CP0316,C0454,O00055,MissedPickup,Phone,Medium,2025-06-05 23:44:00,Resolved,7,12.97
CP0317,C0631,O00406,DriverBehaviour,Chatbot,Medium,2025-01-17 13:07:00,Resolved,6,26.52
CP0318,C0056,O00628,Delay,App,Medium,2024-11-02 10:05:00,Open,5,20.42
CP0319,C0325,O00167,Delay,Email,Medium,2024-04-27 20:46:00,Resolved,2,11.9
CP0320,C0207,O01179,MissedPickup,Email,Medium,2025-10-16 18:48:00,Resolved,1,1.97
